ur_group,num_files_total,num_files_kept,modal_length,num_pairs,num_pairs_dt_match,dominant_freq_rel_error_disp_median,dominant_freq_rel_error_disp_p25,dominant_freq_rel_error_disp_p10,dominant_freq_rel_error_disp_min,disp_psd_rel_error_median,disp_psd_rel_error_p25,disp_psd_rel_error_p10,disp_psd_rel_error_min,force_psd_rel_error_median,force_psd_rel_error_p25,force_psd_rel_error_p10,force_psd_rel_error_min,disp_std_rel_error_median,disp_std_rel_error_p25,disp_std_rel_error_p10,disp_std_rel_error_min
3.0,32,31,4000,465,465,0.0,0.0,0.0,0.0,0.882950113854852,0.6352336238084995,0.4641188273636023,0.11271471068718447,0.8813428732282815,0.6351670546673528,0.43078584773788703,0.10623552705119536,0.2841071285507934,0.15485752082226262,0.06626050850361419,0.0018835373353311652
4.0,48,47,4000,1081,1081,1.421085471518908e-12,0.0,0.0,0.0,0.3188862431870134,0.21615247104639435,0.15307040725629764,0.044151614180262304,0.32357555358958434,0.2232569907035489,0.1549713912988539,0.06124747027347675,0.03915677756996816,0.019886358885281917,0.007361705619287256,2.1742559359806103e-05
6.0,39,38,4000,703,703,0.0,0.0,0.0,0.0,0.24969676912337022,0.13637116858096343,0.08206888017546217,0.019906455921617175,0.3220208306591447,0.20139633462381365,0.14264119138084178,0.06467763191241623,0.011619003076994238,0.005390200564971038,0.002132259394361708,1.3701662076734343e-05
7.0,49,48,4000,1128,1128,0.03999999999931795,0.0,0.0,0.0,0.6403255032382006,0.38864809473565426,0.24469112012591893,0.06997048060729152,0.6876027745001986,0.4254623498703988,0.2972286060304743,0.10084024759265268,0.02884732013171169,0.01421147103012265,0.005563066126511462,9.164451078811536e-05
8.0,64,63,4000,1953,1953,0.0,0.0,0.0,0.0,0.10871523075936951,0.05550811149024228,0.031206483269593736,0.006859440080095748,0.1113616720632007,0.056964718705634756,0.03189774116847457,0.008023993917089066,0.008003431628943016,0.00363688341629084,0.0014389959733260521,9.188249619900058e-06
10.0,33,32,4000,496,496,0.030303030303030356,1.421085471518908e-12,0.0,0.0,0.9933594483288268,0.7529636982561655,0.6058010424292706,0.3310185952531161,0.9889120499903012,0.7641539627967879,0.6228975525963572,0.363347246326804,0.16469140818097547,0.08395760673382628,0.03982767711638648,0.0008219964970332747
12.0,123,119,4000,7021,7021,0.04545454545454554,0.04166666666666656,0.0,0.0,1.0390454658027768,0.87403864780988,0.7057525189492357,0.06970609683250042,1.0910642279994909,0.9261767602609602,0.8182072872948376,0.5388061150772133,0.26100184478551475,0.13171766991825234,0.056002647601129454,1.7032414574921466e-05
ALL,388,378,nan,12847,12847,0.016536796536902133,0.005952380952583949,0.0,0.0,0.6047112534706299,0.43698797367539993,0.3266727542241973,0.09347534193743824,0.6294114260043145,0.46179688166121385,0.3569470882153895,0.17759689030726392,0.11391813056070012,0.05909395876728681,0.025512408619230948,0.00040840617554055957
