ur_group,file_a,file_b,length,dt_a,dt_b,dominant_freq_rel_error_disp,disp_std_rel_error,disp_psd_rel_error,force_psd_rel_error,dt_match
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg026.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.08841599103533554,0.3517667838416477,0.3398369384542146,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg027.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.3459546830925845,1.5272047163678675,1.6894198431251237,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg028.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.5087907098513513,3.7587581225111757,4.59437664408661,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg029.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.08204820184874073,0.6736630957788633,0.7168574659763699,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg030.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.16261371045634734,0.8450418562065078,0.8947757461466743,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/val/test3003_corrected_seg002.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.21816446615043622,0.4268313966663708,0.533639417341714,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/val/test3003_corrected_seg004.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.15550441481722344,0.48142877614602814,0.44823766977096524,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/val/test3003_corrected_seg010.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.5734633887869147,3.832603799835266,4.644861351758657,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/val/test3003_corrected_seg011.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.531773620021244,2.7574450203596976,2.762716317831944,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/val/test3003_corrected_seg021.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.2764056604872414,1.5428704312632973,1.445884233488173,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg000.npz,Experimental_Data/npz_exports__v2_zero_mean/val/test3003_corrected_seg025.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.3950490038210609,0.7152714632443751,0.7261612546128573,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg003.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0769230769230769,0.3125957972896336,2.629341585387788,3.008854783104445,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg005.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.22007441510125486,2.49635383154708,2.8002260697005195,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg006.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.036547661688278416,0.29330814854698095,0.2760272417908366,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg007.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.16259190083084246,0.8484514897290059,0.8012527511750067,1.0
3.0,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg001.npz,Experimental_Data/npz_exports__v2_zero_mean/train/test3003_corrected_seg008.npz,4000,0.0049999999999954525,0.0049999999999954525,0.0,0.15629325789834958,1.3059573638742183,1.6134058656789303,1.0
