run_dir,run_name,method,held_out_ur,eval_ur,metric,value
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,10.0,Disp rollout NRMSE,0.09688798
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,10.0,Force rollout NRMSE,0.1035136
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,10.0,Force mapping NRMSE,0.004495362
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,11.0,Disp rollout NRMSE,0.1231089
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,11.0,Force rollout NRMSE,0.1286626
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,11.0,Force mapping NRMSE,0.003581074
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,12.0,Disp rollout NRMSE,0.08589754
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,12.0,Force rollout NRMSE,0.08962971
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur10_0211-133529,phnnSS2_Ur10_0211-133529,phnn,10.0,12.0,Force mapping NRMSE,0.003448776
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,1.0,Disp rollout NRMSE,1.423
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,1.0,Force rollout NRMSE,1.413927
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,1.0,Force mapping NRMSE,0.1842698
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,2.0,Disp rollout NRMSE,0.1870225
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,2.0,Force rollout NRMSE,0.1875172
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,2.0,Force mapping NRMSE,0.009326708
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,3.0,Disp rollout NRMSE,0.07849512
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,3.0,Force rollout NRMSE,0.07888412
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,3.0,Force mapping NRMSE,0.004808728
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,4.0,Disp rollout NRMSE,0.04081152
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,4.0,Force rollout NRMSE,0.04165593
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,4.0,Force mapping NRMSE,0.004354524
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,5.0,Disp rollout NRMSE,0.02327029
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,5.0,Force rollout NRMSE,0.03777897
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,5.0,Force mapping NRMSE,0.02129524
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,6.0,Disp rollout NRMSE,0.02625611
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,6.0,Force rollout NRMSE,0.04182727
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,6.0,Force mapping NRMSE,0.01678683
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,7.0,Disp rollout NRMSE,0.03443612
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,7.0,Force rollout NRMSE,0.04210602
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,7.0,Force mapping NRMSE,0.008556699
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,8.0,Disp rollout NRMSE,0.04680945
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,8.0,Force rollout NRMSE,0.05260766
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,8.0,Force mapping NRMSE,0.006226588
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,9.0,Disp rollout NRMSE,0.0502007
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,9.0,Force rollout NRMSE,0.05441726
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,9.0,Force mapping NRMSE,0.004712632
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,10.0,Disp rollout NRMSE,0.05279949
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,10.0,Force rollout NRMSE,0.05626559
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,10.0,Force mapping NRMSE,0.004306528
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,11.0,Disp rollout NRMSE,0.0775287
/Users/kasperslagstad/Desktop/Masterproject/logs/phnn_Ur1/phnnSS2_Ur11_0211-133533,phnnSS2_Ur11_0211-133533,phnn,11.0,11.0,Force rollout NRMSE,0.08099367
